Nome do Clube,Estado,Nome do Técnico,Nacionalidade do Técnico,Tipo de Vínculo,Estreia,Data Início,Data Fim,Vitórias,Empates,Derrotas,Tipo Transação Entrada,Tipo Transação Saída,Eventos
Bragantino,SP,Ernesto Paulo,Brasil,1,False,2002-09-06,2003-03-16,9,6,17,1,1.0,"[{'nome': 'Rebaixamento para a Série B em 2002', 'tipo_evento': 3, 'data': '2002-11-12'}, {'nome': 'Eliminação na primeira fase do Paulista A2 2003', 'tipo_evento': 2, 'data': '2003-03-16'}]"
Bragantino,SP,Carlos Rabello,Brasil,1,False,2003-09-17,2003-11-12,7,2,3,1,1.0,"[{'nome': 'Eliminação nas quartas de final da Série C 2003 para o Santo André', 'tipo_evento': 2, 'data': '2003-11-12'}]"
Bragantino,SP,Rubens Salles,Brasil,1,False,2004-01-14,2004-01-21,0,0,0,1,1.0,[]
Bragantino,SP,Márcio Fernandes,Brasil,1,False,2004-01-22,2004-04-04,2,3,9,1,1.0,"[{'nome': 'Eliminação na primeira fase do Paulista A2 2004', 'tipo_evento': 2, 'data': '2004-04-04'}]"
Bragantino,SP,Marcelo Veiga,Brasil,1,False,2005-01-01,2005-10-01,15,9,12,1,1.0,"[{'nome': 'Eliminação na primeira fase da Copa Paulista 2005', 'tipo_evento': 2, 'data': '2005-10-01'}, {'nome': 'Eliminação na segunda fase do Campeonato Paulista A2 2005', 'tipo_evento': 2, 'data': '2005-06-18'}]"
Bragantino,SP,Nicanor de Carvalho,Brasil,1,False,2005-11-30,2006-01-29,1,2,1,1,1.0,[]
Bragantino,SP,Marcelo Veiga,Brasil,1,False,2006-02-01,2007-04-22,24,11,10,1,1.0,"[{'nome': 'Eliminação na semifinal do Campeonato Paulista 2007 para o Santos', 'tipo_evento': 2, 'data': '2007-04-22'}]"
Bragantino,SP,Roberval Davino,Brasil,1,False,2007-05-29,2007-08-26,6,1,3,1,1.0,[]
Bragantino,SP,Marcelo Veiga,Brasil,1,False,2007-08-27,2012-08-09,105,78,110,1,2.0,"[{'nome': 'Eliminação nas quartas de final do Paulista 2012 para o São Paulo', 'tipo_evento': 2, 'data': '2012-05-12'}, {'nome': 'Eliminação na primeira fase do Paulista 2011', 'tipo_evento': 2, 'data': '2011-04-17'}, {'nome': 'Eliminação na primeira fase do Paulista 2010', 'tipo_evento': 2, 'data': '2010-04-07'}, {'nome': 'Eliminação na primeira fase do Paulista 2009', 'tipo_evento': 2, 'data': '2009-04-05'}, {'nome': 'Eliminação na primeira fase do Paulista 2008', 'tipo_evento': 2, 'data': '2008-04-06'}, {'nome': 'Eliminação na segunda fase da Copa do Brasil 2008 para o Vasco', 'tipo_evento': 2, 'data': '2008-04-04'}, {'nome': 'Campeão da Série C 2007', 'tipo_evento': 1, 'data': '2007-11-28'}]"
Bragantino,SP,Roberto Cavalo,Brasil,1,False,2012-08-10,2012-08-29,0,0,4,1,2.0,[]
Bragantino,SP,Vagner Benazzi,Brasil,1,False,2012-08-29,2012-11-24,9,2,7,1,4.0,[]
